date,title,amount
2026-07-08,Airbnb * Hmmmjcxnqp,"208,93"
2026-07-08,Jim.Com* Singular Fis - Parcela 1/3,"260,00"
2026-07-08,Google Youtubepremium,"26,90"
2026-07-05,Ifd*Ifood Club,"7,95"
2026-07-04,Bem Familia,"57,00"
2026-07-02,Maxmilhas,"334,01"
2026-07-01,"Estorno de ""Nuv*Dt3amelhormar"" (Nuv*Dt3amelhormar)","- 280,66"
2026-06-29,Mercadolivre*Mercadol,"99,99"
2026-06-22,Nubank+,"29,00"
2026-06-19,Pagamento recebido,"- 996,85"
2026-06-19,Conta Vivo,"64,00"
2026-06-19,Cantina Cch Unimontes,"6,00"
2026-06-18,Zul 2 Cartoes 26jdqb,"2,00"
2026-06-18,Nuv*Dt3amelhormar - Parcela 1/10,"172,78"
2026-06-15,Posto Maracana,"50,00"
2026-06-15,App *Lojanerdao - Parcela 2/2,"82,94"
2026-06-15,Amazon - Parcela 3/4,"105,00"
2026-06-15,Nuv*Dt3amelhormar - Parcela 2/10,"140,33"
