Data,Descricao,Valor,Tipo,Pago,Parcela,Cartao
2026-07-08,"Fisioterapia (1/3)",260.00,despesa,Nao,1/1,"Nubank"
2026-07-07,"Youtube Premium",26.90,despesa,Sim,1/1,"Nubank"
2026-07-06,"AirBnB Vinícola",208.93,despesa,Nao,1/1,"Nubank"
2026-07-04,"Ifood Club",7.95,despesa,Nao,1/1,"Nubank"
2026-07-03,"Presente dia Namoridos (2/2)",82.94,despesa,Nao,1/1,"Nubank"
2026-07-03,"Almoço",57.00,despesa,Nao,1/1,"Nubank"
2026-07-01,"Mouse (2/4)",105.00,despesa,Nao,1/1,"Nubank"
2026-07-01,"Viagem IDA SP",334.01,despesa,Nao,1/1,"Nubank"
2026-06-27,"Tênis",99.99,despesa,Nao,1/1,"Nubank"
2026-06-19,"Conta Vivo (1/6)",64.00,despesa,Nao,1/1,"Nubank"
2026-06-18,"Salgado",6.00,despesa,Nao,1/1,"Nubank"
2026-06-17,"Área azul",2.00,despesa,Nao,1/1,"Nubank"
2026-06-17,"Cadeira (1/10)",172.77,despesa,Nao,1/1,"Nubank"
2026-06-15,"Gasolina",50.00,despesa,Nao,1/1,"Nubank"
